# 연혁 — 시간순 정렬(오래된 것부터). 형식: 날짜 | 내용
2023.12.02 | 제47회 국제학술대회 (서울대학교) “서울의 문화지형학”
2023.12.31 | 『비교한국학 Comparative Korean Studies』 제31권 3호 발간
2024.04.30 | 『비교한국학 Comparative Korean Studies』 제32권 1호 발간
2024.06.29 | 제48회 국내학술대회 (고려대학교) “한류 이후 새로운 한국학 — 한국학의 현황과 전망”
2024.08.31 | 『비교한국학 Comparative Korean Studies』 제32권 2호 발간
2024.12.31 | 『비교한국학 Comparative Korean Studies』 제32권 3호 발간
2025.02.14 | 제49회 국내학술대회 (한양대학교 ERICA캠퍼스) “증언으로서의 문학과 문화예술”
2025.04.30 | 『비교한국학 Comparative Korean Studies』 제33권 1호 발간
2025.08.31 | 『비교한국학 Comparative Korean Studies』 제33권 2호 발간
2025.10.25 | 제50회 국내학술대회 (한양대학교 서울캠퍼스) “혼종의 상상력: 비인간 형상의 문학적 재현들”
2025.12.31 | 『비교한국학 Comparative Korean Studies』 제33권 3호 발간
2026.04.30 | 『비교한국학 Comparative Korean Studies』 제34권 1호 발간
2026.07.10 | 제51회 학술대회 (고려대학교) “시대적 저항성으로서의 비평의 힘” (공동주최: 한국문학평론가협회, 주관: 한양대학교 한국미래문화연구소)
2026.08.31 | 『비교한국학 Comparative Korean Studies』 제34권 2호 발간
2026.09.01 | 제19대 임원진 출범
